B2	找B2检票口
B3	找B3检票口
24号口	找24号到达口
d25	找D25检票口
a18	找A18检票口
出口13	找13号到达口
南14柱	找南14桥柱
A9口	找A9检票口
动车,出站口	找到达口
B20	找B20检票口
检票口A20	找A20检票口
26号到达口	找26号到达口
7号,地铁站,入口	坐地铁
地名1,轻轨	坐城轨
p7	找p7停车场
检票口b4	找B4检票口
检票口A20	找A20检票口
出站口北	找北出站口
A8口	找A8检票口
A15口	找A15检票口
b18号口	找B18检票口
南边出站口	找南出站口
西边,出发平台	找西出发平台
出去,东广场	找东广场
A11	找A11检票口
北9桥墩	找北9桥柱
A16口	找A16检票口
A27检票口	找A27检票口
北13桥	找北13桥柱
b8检票口	找B8检票口
忘记带身份证	办临时身份证
北5桥洞	找北5桥柱
坐车	坐车
a7	找A7检票口
西进站口	找西进站口
检票口b6	找B6检票口
B2口	找B2检票口
买的票,取	找自助取票机
动车票,取票	找自助取票机
B1口	找B1检票口
h口	找H口
南边的出站口	找南出站口
a22口	找A22检票口
metro	坐地铁
P8	找p8停车场
3号到达口	找3号到达口
到达	找到达口
西门的进站口	找西进站口
l口	找L口
d25检票口	找D25检票口
南12桥洞	找南12桥柱
21号口	找21号到达口
南1桥洞	找南1桥柱
1出站口	找1号出站口
到达口27	找27号到达口
b8	找B8检票口
北7柱	找北7桥柱
P1	找p1停车场
b口	找B口
出口25	找25号到达口
地名1,城轨,坐车	坐城轨
出口13	找13号到达口
地名1,候车大厅	坐城轨
检票口D26	找D26检票口
东出发平台	找东出发平台
南11桥	找南11桥柱
西门进站口	找西进站口
D27	找D27检票口
b2口	找B2检票口
C26口	找C26检票口
到达口16	找16号到达口
失物招领	找失物招领处
检票口A23	找A23检票口
5号出口	找5号到达口
D28	找D28检票口
d28	找D28检票口
出发厅	找出发平台
南13桥洞	找南13桥柱
b18	找B18检票口
吃的,就餐	用餐
北12桥洞	找北12桥柱
南9	找南9桥柱
p7停车场	找p7停车场
地名1,候车大厅	坐城轨
检票口a16	找A16检票口
16出口	找16号到达口
北8桥柱	找北8桥柱
南9柱	找南9桥柱
南9柱	找南9桥柱
到达口22	找22号到达口
b8口	找B8检票口
检票口A5	找A5检票口
b7检票口	找B7检票口
10号到达口	找10号到达口
B20检票口	找B20检票口
a16口	找A16检票口
B15	找B15检票口
哪里坐	坐车
d21口	找D21检票口
a26	找A26检票口
出去,东门	找东门
出站口	找出站口
北8桥墩	找北8桥柱
B出口	找B口
11号口	找11号到达口
15号出口	找15号到达口
西侧的进站口	找西进站口
轻轨,到达口	找到达口
北2桥	找北2桥柱
南8洞口	找南8桥柱
检票口a20	找A20检票口
B3检票口	找B3检票口
北侧的出站口	找北出站口
检票口a13	找A13检票口
c22口	找C22检票口
买票	买票
南12	找南12桥柱
出口27	找27号到达口
5出站口	找5号出站口
北边进站口	找北进站口
西出口,出发厅	找西出发平台
B3口	找B3检票口
南3桥柱	找南3桥柱
D入口	找D口
北8	找北8桥柱
改签	找改签处
a20检票口	找A20检票口
检票口b20	找B20检票口
21出口	找21号到达口
A22口	找A22检票口
K口	找K口
检票口B18	找B18检票口
B9口	找B9检票口
18出口	找18号到达口
C27号口	找C27检票口
b10口	找B10检票口
北3	找北3桥柱
检票口a25	找A25检票口
B19号口	找B19检票口
地铁口	坐地铁
d26检票口	找D26检票口
西侧,出发平台	找西出发平台
c区	找检票C区
东门爱心驿站	找东门爱心驿站
P3停车场	找p3停车场
北10桥柱	找北10桥柱
5出口	找5号到达口
检票口a17	找A17检票口
28号口	找28号到达口
爱心驿站	找爱心驿站
北2桥洞	找北2桥柱
汽车站	坐大巴
北面进站口	找北进站口
北9桥	找北9桥柱
b9口	找B9检票口
b17	找B17检票口
b11	找B11检票口
p10停车场	找p10停车场
检票口b3	找B3检票口
检票口C24	找C24检票口
11出口	找11号到达口
A5口	找A5检票口
C24号口	找C24检票口
28号出口	找28号到达口
检票口b7	找B7检票口
地名,候车大厅	坐车
b17	找B17检票口
10号出口	找10号到达口
南4	找南4桥柱
出口21	找21号到达口
东出口,出发厅	找东出发平台
西门的爱心驿站	找西门爱心驿站
B13口	找B13检票口
西边,出发平台	找西出发平台
3层	坐车
行李托运,托运	找行李托运
d24检票口	找D24检票口
南14桥洞	找南14桥柱
西侧出站口	找西出站口
东广场	找东广场
取票口	找自助取票机
A16号口	找A16检票口
充电宝	借充电宝
南,13号桥	找南13桥柱
到3楼	坐车
到达口12	找12号到达口
9号口	找9号到达口
北11柱	找北11桥柱
7号进站口	找7号进站口
16号口	找16号到达口
北13桥	找北13桥柱
B7检票口	找B7检票口
P5	找p5停车场
检票口a28	找A28检票口
检票口B14	找B14检票口
检票口d22	找D22检票口
检票口a26	找A26检票口
北11洞口	找北11桥柱
北12桥墩	找北12桥柱
身份证,忘带,通行证,驾驶证	人工窗口
人工	人工窗口
d24口	找D24检票口
认证	找处理12306账户
考核回乡证	找处理12306账户
L出口	找L口
南面进站口	找南进站口
北边的出站口	找北出站口
北2	找北2桥柱
南3桥墩	找南3桥柱
d25	找D25检票口
出口28	找28号到达口
购票	买票
26号口	找26号到达口
d22口	找D22检票口
北11桥柱	找北11桥柱
b26检票口	找B26检票口
北9	找北9桥柱
出口14	找14号到达口
a14检票口	找A14检票口
坐高铁	坐车
A20口	找A20检票口
充电	借充电宝
咖啡	找咖啡店
动车票,取票	找自助取票机
c24号口	找C24检票口
东边出站口	找东出站口
南3	找南3桥柱
c区	找检票C区
D23口	找D23检票口
P5	找p5停车场
c20	找C20检票口
买票	买票
北11桥柱	找北11桥柱
南10柱	找南10桥柱
A8号口	找A8检票口
到达口14	找14号到达口
B19	找B19检票口
就餐,面条	用餐
充电	借充电宝
地名,高铁,坐车	坐车
高铁票,取票	找自助取票机
b18口	找B18检票口
出口15	找15号到达口
停车场	找停车场
北门的出站口	找北出站口
快餐	用餐
b23口	找B23检票口
回乡证核验	找处理12306账户
4进站口	找4号进站口
北,4号桥	找北4桥柱
出口21	找21号到达口
检票口b8	找B8检票口
高铁票,取	找自助取票机
地名,高铁,坐车	坐车
哪个口	找到达口
坐高铁	坐车
南10桥柱	找南10桥柱
6号出站口	找6号出站口
A2检票口	找A2检票口
东出口,出发厅	找东出发平台
F入口	找F口
P4停车场	找p4停车场
西南区	找西南区
c23口	找C23检票口
忘记密码	找处理12306账户
北7	找北7桥柱
北3桥墩	找北3桥柱
E入口	找E口
南5	找南5桥柱
C25号口	找C25检票口
出口21	找21号到达口
打的	坐出租车
巴士	坐大巴
火车票,取票	找自助取票机
A16	找A16检票口
到达口1	找1号到达口
B出口	找B口
P4	找p4停车场
P5	找p5停车场
母婴	找母婴室
A23号口	找A23检票口
进站,地名	坐车
a22号口	找A22检票口
专车	找p1停车场
吸烟处	找吸烟处
考核身份证	找处理12306账户
a16口	找A16检票口
检票口a18	找A18检票口
西面的进站口	找西进站口
d23检票口	找D23检票口
b区	找检票B区
9号到达口	找9号到达口
4号出口	找4号到达口
到达口17	找17号到达口
c21口	找C21检票口
肯德基	找肯德基
取票	找自助取票机
C27检票口	找C27检票口
L口	找L口
A11检票口	找A11检票口
7进站口	找7号进站口
坐出租车	坐出租车
b28	找B28检票口
忘记密码	找处理12306账户
南5桥墩	找南5桥柱
取票机	找自助取票机
d24检票口	找D24检票口
行李托运,托运	找行李托运
A10号口	找A10检票口
C25	找C25检票口
进站口	坐车
D23号口	找D23检票口
东出口	找东出口
班车,出站口	找到达口
人工	人工窗口
打的	坐出租车
a14口	找A14检票口
出站口6	找6号出站口
南5桥柱	找南5桥柱
A21号口	找A21检票口
2出站口	找2号出站口
b27号口	找B27检票口
地名1,等车	坐城轨
7号出口	找7号到达口
高铁	坐车
北2桥柱	找北2桥柱
汽车	坐大巴
C24口	找C24检票口
煌上煌	找煌上煌
南6桥	找南6桥柱
身份证,取不出来,票	人工窗口
进站	坐车
b6检票口	找B6检票口
西广场	找西广场
地名,候车	坐车
改时间	找改签处
4出站口	找4号出站口
A3	找A3检票口
退票	人工窗口
C20	找C20检票口
西在哪里	找西边
动车票,取票	找自助取票机
西侧的爱心驿站	找西门爱心驿站
北8桥柱	找北8桥柱
3号出站口	找3号出站口
B5	找B5检票口
北面的进站口	找北进站口
a5口	找A5检票口
b9号口	找B9检票口
北6桥	找北6桥柱
c22	找C22检票口
a8检票口	找A8检票口
改签	找改签处
17号口	找17号到达口
4号到达口	找4号到达口
b16号口	找B16检票口
南4桥洞	找南4桥柱
南9桥墩	找南9桥柱
B16口	找B16检票口
13号出口	找13号到达口
东门出站口	找东出站口
B13检票口	找B13检票口
24号出口	找24号到达口
B18	找B18检票口
检票口c27	找C27检票口
B8号口	找B8检票口
17号口	找17号到达口
高铁	坐车
坐车	坐车
B23检票口	找B23检票口
西在哪侧	找西边
d27号口	找D27检票口
9号出口	找9号到达口
到达口2	找2号到达口
北1桥柱	找北1桥柱
核验回乡证	找处理12306账户
a16	找A16检票口
西门爱心驿站	找西门爱心驿站
北3柱	找北3桥柱
南门进站口	找南进站口
高铁	坐车
22号到达口	找22号到达口
E口	找E口
人工取票	人工窗口
d入口	找D口
K入口	找K口
E口	找E口
长途汽车站	坐大巴
B19检票口	找B19检票口
北出站口	找北出站口
b6检票口	找B6检票口
B1检票口	找B1检票口
E出口	找E口
4号出口	找4号到达口
南2柱	找南2桥柱
A1口	找A1检票口
吸烟	找吸烟处
检票口b16	找B16检票口
A4号口	找A4检票口
D21号口	找D21检票口
北门进站口	找北进站口
a25检票口	找A25检票口
检票口B27	找B27检票口
b1口	找B1检票口
c24口	找C24检票口
18号到达口	找18号到达口
检票口b14	找B14检票口
b25	找B25检票口
B6号口	找B6检票口
7出口	找7号到达口
检票口c28	找C28检票口
东出口	找东出口
25号出口	找25号到达口
P6	找p6停车场
A21号口	找A21检票口
2号线,地铁	坐地铁
入台证	人工窗口
19号口	找19号到达口
出口5	找5号到达口
c20	找C20检票口
B2检票口	找B2检票口
地名1,候车大厅	坐城轨
a9口	找A9检票口
c28	找C28检票口
b入口	找B口
到达口28	找28号到达口
B9检票口	找B9检票口
南2桥墩	找南2桥柱
A7口	找A7检票口
a11检票口	找A11检票口
北2桥	找北2桥柱
北3洞口	找北3桥柱
p3停车场	找p3停车场
B19	找B19检票口
人工,服务台,售票	人工窗口
B16号口	找B16检票口
b28	找B28检票口
行李寄存	找行李寄存处
l口	找L口
P6停车场	找p6停车场
南2洞口	找南2桥柱
北7	找北7桥柱
城轨,坐车	坐车
E入口	找E口
b2号口	找B2检票口
身份证核验	找处理12306账户
坐地铁	坐地铁
6出站口	找6号出站口
B8号口	找B8检票口
4号口	找4号到达口
到达口4	找4号到达口
a17	找A17检票口
南4柱	找南4桥柱
北1	找北1桥柱
北,4号桥	找北4桥柱
A区	找检票A区
a6号口	找A6检票口
b21检票口	找B21检票口
西边的爱心驿站	找西门爱心驿站
J出口	找J口
b23	找B23检票口
出发厅	找出发平台
L出口	找L口
检票口A10	找A10检票口
乘车	坐车
南门的出站口	找南出站口
16号出口	找16号到达口
a26	找A26检票口
A15号口	找A15检票口
b25口	找B25检票口
H出口	找H口
A12口	找A12检票口
到达口11	找11号到达口
办临时身份证	办临时身份证
检票口b8	找B8检票口
检票口B4	找B4检票口
进站口5	找5号进站口
充电	借充电宝
南1桥洞	找南1桥柱
b5	找B5检票口
1号出站口	找1号出站口
考核证件	找处理12306账户
B16检票口	找B16检票口
b22号口	找B22检票口
15出口	找15号到达口
c22口	找C22检票口
ATM机	找ATM机
北11柱	找北11桥柱
A19检票口	找A19检票口
东面出站口	找东出站口
3出口	找3号到达口
城轨,哪个口	找到达口
检票口B15	找B15检票口
高铁,哪个口	找到达口
K口	找K口
b22号口	找B22检票口
8号口	找8号到达口
b2号口	找B2检票口
20号口	找20号到达口
汽车客运站	坐大巴
北8桥	找北8桥柱
C27口	找C27检票口
西侧出站口	找西出站口
南边出站口	找南出站口
北14桥墩	找北14桥柱
南,3号桥	找南3桥柱
B17号口	找B17检票口
B19检票口	找B19检票口
南6柱	找南6桥柱
检票口c24	找C24检票口
B11检票口	找B11检票口
C22号口	找C22检票口
南13桥	找南13桥柱
拿票	找自助取票机
A9	找A9检票口
南边出站口	找南出站口
检票口a12	找A12检票口
出去,东门	找东门
北,13号桥	找北13桥柱
A20号口	找A20检票口
公共汽车	坐公交
a19	找A19检票口
周黑鸭	找周黑鸭
2出站口	找2号出站口
检票口B25	找B25检票口
北11桥洞	找北11桥柱
A26号口	找A26检票口
c21	找C21检票口
充电	借充电宝
北1桥墩	找北1桥柱
D26号口	找D26检票口
15出口	找15号到达口
北14桥洞	找北14桥柱
A24号口	找A24检票口
c区	找检票C区
检票口d21	找D21检票口
C20口	找C20检票口
b7号口	找B7检票口
出发厅	找出发平台
行李托运,托运	找行李托运
进站	坐车
P2	找p2停车场
出口19	找19号到达口
北5桥	找北5桥柱
优之选,特产店	找优之选
a26号口	找A26检票口
l口	找L口
10号口	找10号到达口
j出口	找J口
b10口	找B10检票口
b16口	找B16检票口
北2桥	找北2桥柱
d26号口	找D26检票口
东面的进站口	找东进站口
北5桥	找北5桥柱
检票口a2	找A2检票口
d28号口	找D28检票口
C23号口	找C23检票口
地名,候车大厅	坐车
检票口b28	找B28检票口
26号到达口	找26号到达口
南3桥柱	找南3桥柱
检票口D21	找D21检票口
上三楼	坐车
a13口	找A13检票口
C26	找C26检票口
b6检票口	找B6检票口
瑞途便利店	找广铁瑞途便利店
J入口	找J口
g入口	找G口
乐站	找乐站便利店
检票口b9	找B9检票口
检票口b10	找B10检票口
南路	找南站南路
南站汽车客运站	坐大巴
出口14	找14号到达口
7号线,地铁	坐地铁
检票口B10	找B10检票口
南面出站口	找南出站口
c23口	找C23检票口
A22	找A22检票口
地名,高铁,上三楼	坐车
高铁站,售票大厅	人工窗口
到达口15	找15号到达口
b11检票口	找B11检票口
C27检票口	找C27检票口
检票口b18	找B18检票口
c20口	找C20检票口
检票口B3	找B3检票口
b14	找B14检票口
C27	找C27检票口
的士	坐出租车
订高铁票	人工窗口
b18号口	找B18检票口
A22检票口	找A22检票口
B13	找B13检票口
4出站口	找4号出站口
E口	找E口
高铁票,取票	找自助取票机
C28检票口	找C28检票口
A8口	找A8检票口
8号出口	找8号到达口
11号口	找11号到达口
